FALSE; FALSE neg
LH; Luteinizing Hormone
Li+; Lithium
Li; Lithium
MetHb; Methemoglobin
MetHgb; Methemoglobin
Mg, Mag; Magnesium
MIC; Minimum Inhibitory Concentration
MMA; Methylmalonic Acid
Mn; Manganese
Mono; Mononucleosis
NA; Sodium
NEOTY; Neonate Type and DAT
NEOXM; Neonate Type and XM  
NH3; Ammonia
NTR; Newborn Type and Rh
PAP; Pap Smear Pap Smear & HPV DNA Test Prostatic Acid Phosphatase
Pb; Lead
PBG; Porphobilinogen
PCP; Phencyclidine
PEP; Protein Electrophoresis
PHOS; Phosphorus
PKU; Phenylketonuria
PLT or PLT Ct; Platelet Count
PO4; Phosphorus
PRL; Prolactin
PRU; P2Y12
PSA; Prostate Specific Antigen
PT; Prothrombin Time
PTH; Parathyroid Hormone
PTT; Partial Thromboplastin Time
QIG; Quantitative Immunoglobulins
RBC; Red Blood Cell
RET; Reticulocyte Count
RF; Rheumatoid Factor
RFP; Renal Function Panel
RhIG (Eval); RhIG Evaluation
RPR; Rapid Plasma Reagin
RSV; Respiratory Syncytial Virus
Scl-70; Scleroderma Antibody
SHBG; Sex Hormone-Binding Globulin
SIFE; Serum Immunofixation Electrophoresis
Siro; Sirolimus
SPEP; Serum Protein Electrophoresis
SSA; Sjögren’s Syndrome A Antibody
SSB; Sjögren’s Syndrome B Antibody
SSDNA; Single Stranded DNA
T Bil; Total Bilirubin
T3; Triiodothyronine
T4; Thyroxine
Tacro; Tacrolimus
TBG; Thyroxine Binding Globulin
TGL;  Triglycerides
Theo; Theophylline
TIBC; Total Iron Binding Capacity
TP; Total Protein
TREP; Treponemal Antibodies
Trep Ab; Treponemal Antibodies
TRH;  Thyrotropin Releasing Hormone
Trig; Triglycerides
TRXN; Transfusion Reaction Evaluation
TSH; Thyroid Stimulating Hormone
TSI; Thyroid Stimulating Immunoglobulin
TT; Thrombin Time
TYSC; Type and Screen
UIFE; Urine Immunofixation Electrophoresis
UPE, UPEP or;  
Ur Prot Elect; Urine Protein Electrophoresis
VCA; Viral Capsid Antigen 
VDRL; Venereal Disease Reference Lab (Syphilis Test, CSF)
Vit A; Vitamin A (Retinol)
Vit B1; Vitamin B1 (Thiamine)
Vit B12; Vitamin B12
Vit B2; Vitamin B2 (Riboflavin)
Vit B6; Vitamin B6 (Pyridoxine)
Vit C; Vitamin C
Vit D; 25-Hydroxy Vitamin D
VLDL; Very Low Density Lipoprotein
VMA; Vanillylmandelic Acid
VZG; Varicella zoster IgG
WBC; White Blood Cell Count
Xa; LMW Heparin
XM; Type and Crossmatch
Zn; Zinc
ZPP; Zinc Protoporphyrin


######; Synonyms below taken from https://medlineplus.gov/appendixb.html
ABG; Arterial blood gases
ACE; Angiotensin converting enzyme
ACL; Anterior cruciate ligament
ADHD; Attention deficit hyperactivity disorder
AFIB; Atrial fibrillation
AIDS; Acquired immunodeficiency syndrome
ALP; Alkaline phosphatase
ALS; Amyotrophic lateral sclerosis. 
ALT; Alanine aminotransferase
AMD; Age-related macular degeneration
AMI; Acute myocardial infarction
AODM; Adult onset diabetes mellitus
AST; Aspartate aminotransferase
AVM; Arteriovenous malformation
BID; Twice a day
BMI; Body mass index
BP; Blood pressure
BPH; Benign prostatic hypertrophy
BRCA; Breast Cancer Gene 
BUN; Blood urea nitrogen
CA; Cancer OR Calcium
CA-125; Cancer antigen 125
CABG; Coronary artery bypass graft
CAD; Coronary artery disease
CAT; Computerized axial tomography
CBC; Complete blood count
CHD; Congenital heart disease
CHF; Congestive heart failure
CMV; Cytomegalovirus
CNS; Central nervous system
COPD; Chronic obstructive pulmonary disease
CPK; Creatine phosphokinase
CPR; Cardiopulmonary resuscitation
CRF; Chronic renal failure
CRP; C-reactive protein
CSF; Cerebrospinal fluid
CVA; Cerebrovascular accident
CXR; Chest x-ray
D&C; Dilatation and curettage
DJD; Degenerative joint disease
DM; Diabetes mellitus
DTP; Diphtheria, tetanus, pertussis
DVT; Deep-vein thrombosis
DX; Diagnosis
ECG, EKG; Electrocardiogram
ECHO; Echocardiogram
EEG; Electroencephalogram
EMG; Electromyography
ENT; Ear, nose and throat
ERCP; Endoscopic retrograde cholangiopancreatography
ESR; Erythrocyte sedimentation rate
ESRD; End-stage renal (kidney) disease
FSH; Follicle stimulating hormone
GERD; Gastroesophageal reflux disease
GI; Gastrointestinal
GFR; Glomerular filtration rate
GU; Genitourinary
HAV; Hepatitis A virus
HBV; Hepatitis B virus
HCT; Hematocrit 
HCV; Hepatitis C virus
HDL; High density lipoprotein
HGB; Hemoglobin 
HIV; Human immunodeficiency virus
HPV; Human papilloma virus
HRT; Hormone replacement therapy
HTN; Hypertension
IBD; Inflammatory bowel disease
IBS; Irritable bowel syndrome
ICD; Implantable cardioverter defibrillator
ICU; Intensive care unit
IDDM; Insulin-dependent diabetes mellitus
IUD; Intrauterine device
IV; Intravenous
IVP; Intravenous pyelogram
LDL; Low density lipoprotein
LFT; Liver function tests
MI; Myocardial infarction
MMR; Measles, mumps, and rubella
MRI; Magnetic resonance imaging
MRSA; Methicillin-resistant Staphylococcus aureus
MS; Multiple sclerosis
NG; Nasogastric
NIDDM; Non-insulin dependent diabetes mellitus
NKDA; No known drug allergies
NSAID; Non-steroidal anti-inflammatory drug
OCD; Obsessive-compulsive disorder
PAD; Peripheral arterial disease
PAP; Papanicolau 
PAT; Paroxysmal atrial tachycardia
PET; Positron emission tomography
PFT; Pulmonary function test
PID; Pelvic inflammatory disease
PMS; Premenstrual syndrome
PPD; Purified protein derivative
PRN; As needed
PSA; Prostate specific antigen
PT; Prothrombin time
PTH; Parathyroid hormone
PTSD; Post-traumatic stress syndrome
PTT; Partial thromboplastin time
PUD; Peptic ulcer disease
PVC; Premature ventricular contraction
QID; Four times a day 
RA; Rheumatoid arthritis
RBC; Red blood cell
RSV; Respiratory syncytial virus
Rx; Treatment
SAD; Seasonal affective disorder
SIDS; Sudden infant death syndrome
SLE; Systemic lupus erythematosus
SOB; Shortness of Breath
STD; Sexually transmitted disease
T3; Triiodothyronine
T4; Thyroxine
TB; Tuberculosis
TAH; Total abdominal hysterectomy
TIA; Transient ischemic attack
TIBC; Total iron binding capacity
TID; Three times a day 
TMJ; Temporomandibular joint
TORCH; Stands for a group of infections that may cause birth defects
TSH; Thyroid stimulating hormone
TURP; Transurethral resection of prostate gland
URI; Upper respiratory infection
UTI; Urinary tract infection
XRT; Radiotherapy
WBC; White blood cell


######; Synonyms below taken from https://en.wikipedia.org/wiki/List_of_medical_abbreviations
ABG; arterial blood gas
ACE; angiotensin-converting enzyme
ACTH; adrenocorticotropic hormone
ADH; antidiuretic hormone
AIDS; acquired immunodeficiency syndrome
ALT; alanine aminotransferase
SGPT; alanine aminotransferase
AST; aspartate aminotransferase
SGOT; aspartate aminotransferase
ATP; adenosine triphosphate
BCG; bacille Calmette-Guérin
bid; 2 times a day
BMR; basal metabolic rate
BP; blood pressure
BSA; body surface area
BUN; blood urea nitrogen
BR; bedside rounds
BPD; borderline personality disorder
Ca; calcium
cAMP; cyclic adenosine monophosphate
CBC; complete blood count
cGy; centigray
Ci; curie
CK; creatine kinase
Cl; chloride chlorine
cm; centimeter
CNS; central nervous system
CO2; carbon dioxide
COPD; chronic obstructive pulmonary disease
CPK; creatine phosphokinase
CPK-MB; creatine phosphokinase muscle bandisoenzyme
CPR; cardiopulmonary resuscitation
CSF; cerebrospinal fluid
CT; computed tomography
Cu; cubic
D&C; dilation and curettage
dL; deciliter
DNA; deoxyribonucleic acid
DTP; diphtheria-tetanus-pertussis
D/W; dextrose in water
ECF; extracellular fluid
ECG; electrocardiogram
EEG; electroencephalogram
ENT; ear nose and throat
ERCP; endoscopic retrograde cholangiopancreatography
ESR; erythrocyte sedimentation rate
FDA; U.S. Food and Drug Administration
Ft; foot; feet
FUO; fever of unknown origin
GFR; glomerular filtration rate
GI; gastrointestinal
GVHD; Graft-versus-host disease
G6PD; glucose-6-phosphate dehydrogenase
GU; genitourinary
Gy; gray
Hb; hemoglobin
HCl; hydrochloric acid; hydrochloride
HCO3; bicarbonate
Hct; hematocrit
Hg; mercury
HIV; human immunodeficiency virus
HLA; human leukocyte antigen
HMG-CoA; hydroxymethyl glutaryl coenzyme A
Hz; hertz cycles/second 
hs; at bedtime 
ICF; intracellular fluid
ICU; intensive care unit
IgA; etc. immunoglobin A
IL; interleukin
INR; international normalized ratio
IPPB; intermittent positive pressure breathing
IU; international unit
IV; intravenous
IVU; intravenous urography
kcal; kilocalorie
kg; kilogram
lb; pound
LDH; lactic dehydrogenase
MCH; mean corpuscular hemoglobin
MCHC; mean corpuscular hemoglobin concentration
mCi; millicurie
MCV; mean corpuscular volume
mEq; Milliequivalent
Mg; magnesium
mg; milligram
MI; myocardial infarction
MIC; minimum inhibitory concentration
mIU; milli-international unit
mL; milliliter
mm; millimeter
mmol; millimole
mo; month
mol; wt molecular weight
mOsm; Milliosmole
MRI; magnetic resonance imaging
Na; sodium
NaCl; sodium chloride
ng; nanogram
nm; nanometer
nmol; nanomole
Npo; nothing by mouth
NSAID; nonsteroidal anti-inflammatory drug
O2; oxygen
OTC; over-the-counter
oz; ounce
PAco2; alveolar carbon dioxide partial pressure
Paco2; arterial carbon dioxide partial pressure
PAo2; alveolar oxygen partial pressure
Pao2; arterial oxygen partial pressure
PAS; periodic acid-Schiff
Pco2; carbon dioxide partial pressure
PCR; polymerase chain reaction
PET; positron emission tomography
pg; picogram
pH; hydrogen ion concentration
PMN; polymorphonuclear leukocyte
po; orally
Po2; oxygen partial pressure
PPD; purified protein derivative
ppm; parts per million
prn; as needed
PT; prothrombin time
PTT; partial thromboplastin time
qid; 4 times a day
RA; rheumatoid arthritis
RBC; red blood cell
RNA; ribonucleic acid
Sao2; arterial oxygen saturation
SBE; subacute bacterial endocarditis
sc; subcutaneous
SI; International System of Units
SIDS; sudden infant death syndrome
SLE; systemic lupus erythematosus
soln; solution
sp; species
spp; species
sp gr; specific gravity
sq; square
SSRI; selective serotonin reuptake inhibitor
STS; serologic test(s) for syphilis
T&A; tonsillectomy and adenoidectomy
TB; tuberculosis
tid; 3 times a day
TPN; total parenteral nutrition
URI; upper respiratory infection
UTI; urinary tract infection
WBC; white blood cell
wt; weight
μ; micro
μCi; microcurie
μg; microgram
μL; microliter
μm; micrometer
μmol; micromole
μOsm; micro-osmole
mμ; millimicron
